Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-P006;60.3;2026-05-22 02:03:04.52
BI-RUI-009;55.394;2026-05-22 02:03:08.723
BI-RUI-BR11;56.790;2026-05-22 02:03:16.82
BI-RUI-P014;55.9;2026-05-22 02:03:42.137
BI-RUI-C012;52.3;2026-05-22 02:04:19.233
BI-RUI-C002;76.4;2026-05-22 02:04:19.437
BI-RUI-C018;49.80;2026-05-22 02:04:44.69
BI-RUI-C008;49.1;2026-05-22 02:05:27.807
BI-RUI-C012;52.0;2026-05-22 02:05:37.23
BI-RUI-C005;54.0;2026-05-22 02:05:57.203
BI-RUI-007;53.814;2026-05-22 02:06:09.597
BI-RUI-011;42.693;2026-05-22 02:06:13.423
BI-RUI-C012;51.3;2026-05-22 02:06:53.79
BI-RUI-C015;39.20;2026-05-22 02:06:59.697
BI-RUI-025;53.40;2026-05-22 02:07:11.557
BI-RUI-020;63.00;2026-05-22 02:07:20.37
BI-RUI-C021;54.40;2026-05-22 02:07:27.09
BI-RUI-C020;50.40;2026-05-22 02:07:27.153
BI-RUI-C012;47.6;2026-05-22 02:08:09.223
BI-RUI-C034;54.70;2026-05-22 02:08:16.3
BI-RUI-P010;57.7;2026-05-22 02:08:27.787
BI-RUI-021;57.80;2026-05-22 02:08:31.82
